county_name,state,total_fires,pct_silent,pct_evac,extreme_fires,svi_score,pop_age65,pop_disability,pop_poverty,pop_no_vehicle,svi_minority,svi_housing,svi_socioeconomic,svi_household,lat,lon
Ada County,Idaho,140,0.5142857142857142,0.007142857142857143,1,0.1931,76317,53989,71072,6720,0.4779,0.3767,0.1559,0.161,43.546,-116.2425
Adair County,Oklahoma,73,0.6438356164383562,0.0,0,0.9472,3087,4118,7106,695,0.9284,0.7967,0.9348,0.9039,35.742,-94.637667
Adams County,Colorado,14,0.5714285714285714,0.0,0,0.7264,56225,57376,86951,8327,0.8832,0.545,0.6825,0.6758,39.799275,-104.816163
Adams County,Idaho,156,0.8269230769230769,0.00641025641025641,0,0.2017,1321,816,1057,18,0.2959,0.0175,0.6268,0.1549,44.9339,-116.5404
Adams County,Washington,37,0.5675675675675675,0.0,0,0.98,2317,2216,6727,464,0.9526,0.9621,0.9835,0.7467,46.876038,-119.31317
Aitkin County,Minnesota,45,0.5111111111111111,0.0,0,0.2838,5330,3237,3278,352,0.1508,0.2755,0.4464,0.2698,46.512733,-93.324289
Alameda County,California,189,0.7883597883597884,0.005291005291005291,0,0.5129,243239,157897,231148,54476,0.9605,0.9205,0.2962,0.0862,37.73922020551056,-122.13887214660646
Alamosa County,Colorado,13,1.0,0.0,0,0.8253,2387,2546,4429,401,0.889,0.9411,0.5721,0.7658,37.56031248241128,-105.71017235873636
Albany County,Wyoming,83,0.8313253012048193,0.024096385542168676,1,0.2533,4705,3841,11031,792,0.5119,0.5857,0.5651,0.0006,41.29129,-105.564303
Alfalfa County,Oklahoma,8,1.0,0.0,0,0.3048,1075,776,801,35,0.5119,0.3051,0.2953,0.377,36.76325,-98.170611
Alpine County,California,157,0.9872611464968153,0.0,0,0.4044,386,205,278,15,0.8008,0.5352,0.1429,0.6402,38.77472569326531,-120.29756784439088
Amador County,California,241,0.7925311203319502,0.012448132780082987,2,0.5647,10925,6812,5543,845,0.6096,0.7725,0.4477,0.398,38.17764469999999,-121.0187261
