id,geo_event_id,approval_status,source,source_incident_name,source_acres,date_created,IRWINID,IncidentName,GACC,GISAcres,IncidentTypeCategory,UnitID,IMTName
1,40388.0,pending,nifc,Eaton,14021.108712251096,2025-01-21,,,,,,,
2,40930.0,approved,firis,CA-SDU-PALA-N40Y,16.842321799159215,2025-01-21,,,,,,,
3,40932.0,approved,firis,CA-SDU-LILAC-N40Y,80.05473294141994,2025-01-21,,,,,,,
4,40932.0,approved,cal_fire_intel,LILAC,80.76,2025-01-21,,,,,,,
5,41005.0,approved,cal_fire_intel,CLAY,38.01,2025-01-22,,,,,,,
6,41005.0,pending,cal_fire_intel,CLAY,38.55,2025-01-22,,,,,,,
7,41033.0,approved,firis,CA-SND-BERNARDO-N40Y,3.938961732168518,2025-01-22,,,,,,,
8,41039.0,approved,firis,CA-ANF-HUGHES-N40Y,3407.058802649301,2025-01-22,,,,,,,
9,41039.0,approved,firis,CA-ANF-HUGHES-N40Y,5054.058019966552,2025-01-22,,,,,,,
10,40932.0,pending,cal_fire_intel,LILAC,80.76,2025-01-23,,,,,,,
11,41039.0,pending,cal_fire_intel,HUGHES,9456.75,2025-01-23,,,,,,,
12,41039.0,approved,firis,CA-ANF-HUGHES-N40Y,9268.504815253877,2025-01-23,,,,,,,
13,41110.0,approved,firis,CA-SDU-BORDER-N40Y,148.36002187728388,2025-01-23,,,,,,,
14,41110.0,approved,firis,CA-SDU-BORDER-N40Y,228.6199647879051,2025-01-24,,,,,,,
15,41123.0,approved,firis,CA-RRU-RECHE-N40Y,2.8435267276469753,2025-01-24,,,,,,,
16,41124.0,approved,firis,CA-RRU-GIBBLE-N40Y,15.00072504620115,2025-01-24,,,,,,,
17,41110.0,approved,cal_fire_intel,BORDER 2,566.35,2025-01-24,,,,,,,
18,41110.0,approved,cal_fire_intel,Border 2,5389.39,2025-01-24,,,,,,,
19,41110.0,approved,cal_fire_intel,Border 2,6272.66,2025-01-25,,,,,,,
20,41110.0,pending,cal_fire_intel,Border 2,6499.64,2025-01-25,,,,,,,
21,41110.0,pending,cal_fire_intel,Border 2,6624.77,2025-01-25,,,,,,,
22,,pending,nifc,CHANDLER,1.09,2025-01-28,,,,,,,
23,,pending,nifc,Horton,8346.317892821246,2025-01-30,,,,,,,
24,40335.0,approved,nifc,PALISADES,23448.0,2025-01-30,,,,,,,
25,40388.0,approved,nifc,Eaton,14021.108712251096,2025-01-30,,,,,,,
26,40398.0,approved,nifc,Hurst,799.8176376199292,2025-01-30,,,,,,,
27,,pending,nifc,Sonsela Butte,5.0,2025-01-30,,,,,,,
28,41039.0,pending,nifc,Hughes,10425.343366727768,2025-01-30,,,,,,,
29,,pending,nifc,Laguna,46.172183,2025-01-30,,,,,,,
30,41110.0,approved,nifc,Border 2,6624.77,2025-01-30,,,,,,,
31,41307.0,pending,nifc,Buttram RX,2258.0,2025-01-30,,,,,,,
